distance,100nm_img1.tiff,110nm_img1.tiff,120nm_img1.tiff,30nm_img1.tiff,40nm_img1.tiff,50nm_img1.tiff,60nm_img1.tiff,70nm_img1.tiff,80nm_img1.tiff,90nm_img1.tiff
-61.0,-8.521701812744515,-10.746724128721691,-13.11993026733392,6.513652801513653,-8.286021232605496,-6.9713649749750255,-4.136524200439169,-4.822292327880537,-13.079889297485588,-6.883619308471297
-60.0,-8.738189697266128,-9.908377647398572,-13.083361625671259,9.042253494262642,-9.216261863708832,-8.581596374510768,-4.609727859496791,-5.029067993163941,-12.638633728027603,-6.663060188293289
-59.0,-9.032648086548342,-9.128154754637785,-13.007930755615297,11.061218261718736,-9.813624382019151,-10.40052795410058,-5.032159805297621,-4.937816619873096,-12.282171249389869,-6.564743995666726
-58.0,-9.325151443481758,-8.599949836730651,-13.044953346252749,12.294368743896467,-10.017613410949599,-12.045129776000042,-5.4151020050046625,-4.7463874816895615,-12.124927520752042,-6.697272300720823
-57.0,-9.51519012451177,-8.414262771606552,-13.231087684631753,12.671027183532711,-9.81667613983127,-13.32285118102961,-5.791395187377732,-4.69958591461184,-12.227008819580018,-7.066301345826033
-56.0,-9.546741485595534,-8.480380058288695,-13.480894088745378,12.262539863586431,-9.283459663390758,-14.259294509887184,-6.161361694335732,-5.014707565307445,-12.575265884399224,-7.583092689515034
-55.0,-9.44095802307106,-8.555820465087594,-13.644886970519964,11.188644409179695,-8.59920787811251,-14.989953994750607,-6.439474105834821,-5.821395874023031,-13.07252693176241,-8.132163047791346
-54.0,-9.294431686401285,-8.366242408751527,-13.609577178954721,9.549121856689476,-8.023768424987688,-15.610586166381506,-6.475502014160137,-7.129068374633093,-13.57122611999485,-8.656494140625835
-53.0,-9.241420745849853,-7.770465373991554,-13.376397132873095,7.413839340209976,-7.814686775207684,-16.076482772826925,-6.135625839233563,-8.816717147826333,-13.956132888793729,-9.200021743775455
-52.0,-9.40334892273014,-6.863475322722063,-13.083615303039347,4.88617897033695,-8.16008853912401,-16.2222652435302,-5.40183830261268,-10.6523227691641,-14.219188690185412,-9.891094207765107
